YORF,Name,NCBI gi,NCBI gi2,SGD ID,ORF status,"# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long",O_i (Integrated probability of peptide observations),n_i (# observed peptides),p_i (probability of correct protein identification),APEX,n_i (# observed peptides),p_i (probability of correct protein identification),APEX,p(YPD),p(YMD),p(null),Z (YMD-YPD),GFP- YPD,GFP - YMD,Western,2D gel,"Average (>=2 measurements out of APEX, Western, 2D)",SAGE,HDA,Wang,"Average (>=2 measurements out of SAGE,HDA, Wang)",Avg_protein/Avg_mRNA,MW (Da),PI,CAI (Codon Adaptation Index),Length,Codon Bias,FOP Score (Frequency of Optimal Codons),Gravy Score (Hydropathicity of Protein),"Aromaticity (Frequency of aromatic amino acids: Phe, Tyr, Trp)",PEST_abs,PEST_rel
YHR071W,PCL5,6321862,,S000001113,ORF|Verified,83,23.15,2,0.22,1767,,,,0.000110375,0,5.22E-05,-1.49,,,,,,3,0.9,1.61,1.836666667,,26467,10.08,0.135,229,0.054,0.439,-0.676419,0.091703,60,0.26
YHR072W,ERG7,6321863,,S000001114,ORF|Verified,186,43.88,,,,,,,0,0,0,,156.5,136.5196468,2190,,,1,1.6,1.2,1.266666667,,83461,6.51,0.147,731,0.105,0.466,-0.208208,0.135431,186,0.25
YHR072W-A,NOP10,7839181,,S000007455,ORF|Verified,30,8.09,,,,,,,0,0,0,,825.5,454.5337595,,,,,,,,,6636,10.99,0.366,58,0.535,0.714,-0.794828,0.086207,15,0.26
YHR073W,OSH3,6321864,,S000001115,ORF|Verified,340,93.28,,,,,,,0,0,0,,88,85.5,589,,,1,0.8,0.86,0.886666667,,113759,9.1,0.129,996,0.042,0.435,-0.733333,0.086345,301,0.3
YHR074W,QNS1,6321865,,S000001116,ORF|Verified,203,45.67,3,0.89,5436,,,,0.000165563,0,7.83E-05,-1.83,,,172,,2803.863375,1,0.9,1.01,0.97,2891,80685,6.5,0.172,714,0.116,0.469,-0.198599,0.091036,161,0.23
YHR075C,PPE1,6321866,,S000001117,ORF|Verified,122,33.3,,,,,,,0,0,0,,,,,,,,0.3,0.58,0.44,,44887,7.05,0.126,400,-0.007,0.404,-0.27325,0.1,97,0.24
YHR076W,YHR076W,6321867,,S000001118,ORF|Verified,118,33.69,,,,,,,0,0,0,,,,,,,1,1.1,1.05,1.05,,41190,6.39,0.174,374,0.144,0.499,-0.258289,0.09893,87,0.23
YHR077C,NMD2,6579193,,S000001119,ORF|Verified,420,111.92,1,0.28,233,,,,5.52E-05,0,2.61E-05,-1.06,70,104,1280,,756.3048168,,0.8,0.69,0.745,,126746,4.83,0.15,1089,0.019,0.433,-0.656015,0.089991,282,0.26
YHR078W,YHR078W,6321869,,S000001120,ORF|Uncharacterized,137,34.59,,,,,,,0,0,0,,,,,,,2,0.4,0.86,1.086666667,,63330,7.38,0.11,552,,0.423,0.267391,0.130435,131,0.24
YHR079C,IRE1,6321870,,S000001121,ORF|Verified,342,98.16,,,,,,,0,0,0,,,,259,,,,0.3,,,,126974,6.55,0.116,1115,-0.009,0.399,-0.364484,0.088789,289,0.26
YHR079C-A,SAE3,6321871,,S000001957,ORF|Verified,22,6.04,,,,,,,0,0,0,,,,,,,,,1.53,,,6031,10.53,0.108,50,-0.038,0.426,-1.018,0.1,11,0.22
YHR080C,YHR080C,6321872,,S000001122,ORF|Uncharacterized,428,122.02,3,0.72,1646,,,,0.000165563,0,7.83E-05,-1.83,,,,,,,0.8,0.74,0.77,,149678,9.41,0.124,1345,0.01,0.417,-0.694201,0.063197,412,0.31
YHR081W,YHR081W,6321873,,S000001123,ORF|Verified,95,19.34,4,0.47,9038,,,,0.000220751,0,0.000104455,-2.11,,,,,,3,1.5,1.54,2.013333333,,21045,10.39,0.112,184,-0.043,0.391,-0.882609,0.054348,47,0.26
YHR082C,KSP1,6321874,,S000001124,ORF|Verified,283,70.33,,,,,,,0,0,0,,142.5,137.5,1270,,,3,0.9,0.99,1.63,,117081,6.56,0.172,1029,0.063,0.455,-0.976871,0.094266,275,0.27
YHR083W,YHR083W,6321875,,S000001125,ORF|Verified,90,22.87,,,,,,,0,0,0,,,,1470,,,4,1.1,1.04,2.046666667,,37404,7.13,0.131,329,0.151,0.498,-0.131003,0.085106,80,0.24
YHR084W,STE12,6321876,,S000001126,ORF|Verified,171,45.63,,,,,,,0,0,0,,48.5,54.5,1920,,,3,0.7,0.83,1.51,,77866,5.44,0.142,688,0.065,0.441,-0.818895,0.101744,216,0.31
YHR085W,YHR085W,6321877,,S000001127,ORF|Verified,128,29.8,,,,,,,0,0,0,,105,65.5,4420,,,,1.5,0.85,1.175,,37867,10.29,0.114,334,0.01,0.421,-0.389521,0.05988,74,0.22
YHR086W,NAM8,6321878,,S000001128,ORF|Verified,90,23.53,,,,,,,0,0,0,,173,142.5,1480,,,,0.9,0.7,0.8,,56972,8.45,0.124,523,0.082,0.447,-0.45239,0.089866,133,0.25
YHR087W,YHR087W,6321879,,S000001129,ORF|Uncharacterized,36,10.11,,,,,,,0,0,0,,358.5,915.9664893,2430,,,2,1.1,0.74,1.28,,12009,4.86,0.265,111,0.353,0.618,-0.477478,0.081081,32,0.29
YHR088W,RPF1,6321880,,S000001130,ORF|Verified,130,35.7,,,,,,,0,0,0,,,,784,,,2,1.5,1.92,1.806666667,,35121,10.28,0.184,295,0.155,0.517,-0.828136,0.091525,71,0.24
YHR089C,GAR1,6321881,,S000001131,ORF|Verified,101,16.26,,,,,,,0,0,0,,1252,901.146955,5730,,,13,14.4,3.1,10.16666667,,21480,12,0.211,205,0.329,0.564,-0.683415,0.092683,42,0.2
YHR090C,YNG2,6321882,,S000001132,ORF|Verified,121,28.03,,,,,,,0,0,0,,,,,,,,0.3,1.14,0.72,,32086,7.97,0.177,282,0.134,0.489,-0.886879,0.053191,85,0.3
YHR091C,MSR1,6321883,,S000001133,ORF|Verified,219,67.31,,,,,,,0,0,0,,,,,,,,0.8,0.54,0.67,,73693,10.19,0.109,643,-0.034,0.385,-0.287247,0.101089,125,0.19
YHR092C,HXT4,6321884,,S000001134,ORF|Verified,109,21.4,,,,,,,0,0,0,,,,,,,,3.1,1.65,2.375,,62043,6.37,0.523,560,0.607,0.769,0.35625,0.139286,127,0.23
YHR093W,AHT1,6321885,,S000001135,ORF|Dubious,65,15.81,,,,,,,0,0,0,,,,,,,,,0.94,,,19776,10.27,0.114,182,0.03,0.424,-0.147253,0.126374,,
YHR094C,HXT1,6321886,,S000001136,ORF|Verified,101,22.84,,,,,,,0,0,0,,,,23300,,,1,11.2,2.9,5.033333333,,63261,7.33,0.408,570,0.477,0.691,0.300702,0.145614,123,0.22
YHR095W,YHR095W,6321887,,S000001137,ORF|Dubious,58,11.6,,,,,,,0,0,0,,,,,,,,,2.75,,,16678,10.9,0.112,144,-0.017,0.406,-0.088889,0.090278,,
YHR096C,HXT5,6321888,,S000001138,ORF|Verified,124,22.61,,,,,,,0,0,0,,,,,,,,,0.59,,,66251,7.51,0.206,592,0.256,0.558,0.13277,0.140203,144,0.24
YHR097C,YHR097C,6321889,,S000001139,ORF|Uncharacterized,146,33.81,,,,,,,0,0,0,,,,,,,2,0.3,0.54,0.946666667,,40663,10.7,0.125,366,0.034,0.423,-1.182787,0.038251,103,0.28
YHR098C,SFB3,6321890,,S000001140,ORF|Verified,202,48.22,,,,,,,0,0,0,,570.5,304.9552578,12200,,,,1.5,1.62,1.56,,103949,6.24,0.176,929,0.134,0.489,-0.228525,0.088267,230,0.25
YHR099W,TRA1,6321891,,S000001141,ORF|Verified,1094,316.49,9,0.99,2618,7,1,1814,0.000496689,0.000346981,0.00041782,-0.72,,,,,,4,0.8,1.23,2.01,,433175,6.51,0.139,3744,0.046,0.436,-0.163595,0.102297,872,0.23
YHR100C,YHR100C,6321892,,S000001142,ORF|Uncharacterized,60,17.12,,,,,,,0,0,0,,,,,,,,0.2,1.31,0.755,,20945,9.18,0.169,185,0.124,0.48,-0.265405,0.097297,40,0.22
YHR101C,BIG1,6321893,,S000001143,ORF|Verified,106,27.87,,,,,,,0,0,0,,,,3460,,,,0.1,0.66,0.38,,39068,5.04,0.128,335,0.043,0.45,-0.307463,0.116418,84,0.25
YHR102W,KIC1,6321894,,S000001144,ORF|Verified,248,58.11,,,,,,,0,0,0,,,,1040,,,,0.6,,,,117060,8.08,0.121,1080,0.043,0.428,-0.61037,0.05463,353,0.33
YHR103W,SBE22,6321895,,S000001145,ORF|Verified,262,64.6,,,,,,,0,0,0,,,,,,,1,1.3,1.65,1.316666667,,96397,8.02,0.136,852,0.038,0.431,-0.645071,0.073944,247,0.29
YHR104W,GRE3,6321896,,S000001146,ORF|Verified,105,32.24,,,,,,,0,0,0,,274.5,460,12900,,,1,1,1.16,1.053333333,,37118,7.07,0.226,327,0.213,0.538,-0.232416,0.100917,71,0.22
YHR105W,YHR105W,6321897,,S000001147,ORF|Uncharacterized,69,15.32,,,,,,,0,0,0,,,,,,,,0.2,0.41,0.305,,24646,8.36,0.104,214,0.003,0.409,-0.606542,0.088785,61,0.29
YHR106W,TRR2,6321898,,S000001148,ORF|Verified,92,20.82,,,,,,,0,0,0,,,,414,,,,1.1,0.91,1.005,,37087,6.87,0.138,342,0.118,0.473,-0.112281,0.073099,88,0.26
YHR107C,CDC12,6321899,,S000001149,ORF|Verified,146,43.58,,,,,,,0,0,0,,676,527,1170,,,1,1,1.14,1.046666667,,46668,8.17,0.192,407,0.201,0.525,-0.66855,0.071253,98,0.24
YHR108W,GGA2,6321900,,S000001150,ORF|Verified,150,41.41,,,,,,,0,0,0,,539.5,476.5,2270,,,2,1.1,2.01,1.703333333,,64346,6.46,0.194,585,0.247,0.544,-0.418633,0.054701,158,0.27
YHR109W,CTM1,6321901,,S000001151,ORF|Verified,158,46.02,,,,,,,0,0,0,,,,2940,,,,,0.6,,,68284,4.72,0.127,585,-0.026,0.404,-0.34188,0.123077,163,0.28
YHR110W,ERP5,6321902,,S000001152,ORF|Verified,71,14.43,,,,,,,0,0,0,,132.5,58,,,,1,0.9,1.27,1.056666667,,24248,6.78,0.132,212,0.065,0.452,-0.300943,0.103774,48,0.23
YHR111W,YHR111W,6321903,,S000001153,ORF|Verified,133,31.25,,,,,,,0,0,0,,259.5,110,2620,,,,0.7,0.64,0.67,,49361,6.5,0.123,440,0.056,0.438,-0.287955,0.086364,96,0.22
YHR112C,YHR112C,6321904,,S000001154,ORF|Uncharacterized,110,31.78,,,,,,,0,0,0,,,,1360,,,2,0.8,0.78,1.193333333,,42445,5.8,0.178,378,0.204,0.523,-0.225661,0.095238,92,0.24
YHR113W,YHR113W,6321905,,S000001155,ORF|Uncharacterized,148,38.91,,,,1,0.34,716,0,4.96E-05,2.61E-05,0.95,,,172,,,4,0.8,1.01,1.936666667,,54173,7.02,0.182,490,0.205,0.525,-0.23898,0.081633,124,0.25
YHR114W,BZZ1,6321906,,S000001156,ORF|Verified,216,58.93,,,,,,,0,0,0,,122,136,5440,,,,0.6,0.69,0.645,,71171,5.82,0.157,633,0.078,0.465,-0.817852,0.07267,171,0.27
YHR115C,YHR115C,6321907,,S000001157,ORF|Verified,110,23.82,,,,,,,0,0,0,,,,2790,,,,0.9,0.68,0.79,,46097,6.77,0.151,416,0.136,0.494,-0.426202,0.0625,119,0.29
YHR116W,YHR116W,6321908,,S000001158,ORF|Verified,51,12.67,1,0.42,3082,,,,5.52E-05,0,2.61E-05,-1.06,62.5,72.25085925,1360,,2221.061771,,0.4,0.77,0.585,,17318,7.74,0.111,151,0.08,0.452,-1.422517,0.099338,56,0.37
YHR117W,TOM71,6321909,,S000001159,ORF|Verified,200,52.2,,,,,,,0,0,0,,180,186,4110,,,1,0.4,1.21,0.87,,71856,6.03,0.165,639,0.128,0.477,-0.469797,0.093897,146,0.23
YHR118C,ORC6,6321910,,S000001160,ORF|Verified,169,45.85,1,0.36,730,,,,5.52E-05,0,2.61E-05,-1.06,,,2970,,1850.014849,,0.2,0.67,0.435,,50295,7.88,0.129,435,0.039,0.434,-0.686667,0.068966,117,0.27
YHR119W,SET1,6321911,,S000001161,ORF|Verified,416,104.25,2,0.55,981,,,,0.000110375,0,5.22E-05,-1.49,116,188.5,172,,576.5282152,,0.7,0.89,0.795,,123911,9.68,0.146,1080,0.054,0.44,-0.861481,0.082407,296,0.27
YHR120W,MSH1,6321912,,S000001162,ORF|Verified,358,101.23,2,0.57,1047,,,,0.000110375,0,5.22E-05,-1.49,,,1670,,1358.531703,,0.3,0.46,0.38,,109407,9.13,0.119,959,-0.009,0.401,-0.355474,0.086548,233,0.24
YHR121W,YHR121W,6321913,,S000001163,ORF|Uncharacterized,75,21.04,,,,,,,0,0,0,,,,8320,,,3,2.8,1.71,2.503333333,,21313,10.18,0.168,187,0.168,0.533,-0.441711,0.074866,44,0.24
YHR122W,YHR122W,6321914,,S000001164,ORF|Uncharacterized,55,15.79,,,,5,0.21,5453,0,0.000247844,0.000130569,2.12,72.5,57.5,1800,,,,0.8,1,0.9,,25675,4.39,0.127,231,0.124,0.474,-0.365801,0.017316,68,0.29
YHR123W,EPT1,6321915,,S000001165,ORF|Verified,50,9,,,,,,,0,0,0,,84.5,131,,,,,0.8,0.75,0.775,,44559,6.5,0.122,391,0.033,0.435,0.424041,0.161125,86,0.22
YHR124W,NDT80,6321916,,S000001166,ORF|Verified,206,61.31,,,,,,,0,0,0,,,,,,,,,0.63,,,71479,6.59,0.121,627,-0.016,0.397,-0.672887,0.089314,193,0.31
YHR125W,YHR125W,6321917,,S000001167,ORF|Dubious,23,5.3,,,,,,,0,0,0,,,,,,,,,,,,11885,9.51,0.09,101,-0.117,0.383,0.465347,0.118812,,
YHR126C,YHR126C,6321918,,S000001168,ORF|Uncharacterized,27,7.21,,,,,,,0,0,0,,,,,,,,,0.81,,,16635,5.71,0.145,159,0.098,0.461,-0.123899,0.075472,42,0.26
YHR127W,YHR127W,6321919,,S000001169,ORF|Uncharacterized,107,27.11,,,,,,,0,0,0,,83,64,2140,,,,0.8,1.16,0.98,,27132,11.24,0.12,243,0.074,0.447,-0.71358,0.037037,50,0.21
YHR128W,FUR1,6321920,,S000001170,ORF|Verified,82,23.91,,,,,,,0,0,0,,,,,,,4,5.5,4.03,4.51,,24594,5.53,0.365,216,0.492,0.697,-0.136111,0.092593,49,0.23
YHR129C,ARP1,6321921,,S000001171,ORF|Verified,108,23.38,,,,,,,0,0,0,,,,1580,,,1,0.4,0.58,0.66,,42995,5.26,0.098,384,-0.037,0.374,-0.171094,0.088542,91,0.24
YHR130C,YHR130C,6321922,,S000001172,ORF|Dubious,17,3.74,,,,,,,0,0,0,,,,,,,,0.8,1.17,0.985,,13397,7.06,0.114,111,-0.126,0.356,0.569369,0.225225,,
YHR131C,YHR131C,6321923,,S000001173,ORF|Uncharacterized,260,51.74,,,,,,,0,0,0,,,,172,,,,0.8,0.52,0.66,,96098,5.04,0.129,850,0.032,0.419,-0.870941,0.062353,266,0.31
YHR132C,ECM14,6321924,,S000001174,ORF|Verified,108,26.22,,,,,,,0,0,0,,,,468,,,,2.8,1.69,2.245,,49829,5.03,0.157,430,0.128,0.482,-0.391395,0.139535,95,0.22
YHR132W-A,YHR132W-A,6862571,,S000007496,ORF|Uncharacterized,54,15.17,,,,,,,0,0,0,,186,197.72381,1400,,,,,,,,14395,10.59,0.112,131,-0.063,0.339,-0.863359,0.045802,41,0.31
YHR133C,YHR133C,6321925,,S000001175,ORF|Uncharacterized,61,14.89,,,,,,,0,0,0,,344,249,1900,,,2,6.3,1.85,3.383333333,,32214,9.21,0.153,291,0.161,0.496,0.28488,0.137457,60,0.21
YHR134W,WSS1,6321926,,S000001176,ORF|Verified,105,26.97,,,,,,,0,0,0,,,,,,,1,0.4,0.82,0.74,,30627,9.16,0.124,269,0.061,0.438,-0.595539,0.063197,57,0.21
YHR135C,YCK1,6321927,,S000001177,ORF|Verified,160,36.96,,,,,,,0,0,0,,311.5,268,1630,,,,2.6,1.65,2.125,,61715,9.81,0.176,538,0.164,0.502,-0.945353,0.083643,109,0.2
YHR136C,SPL2,6321928,,S000001178,ORF|Verified,48,13.82,,,,,,,0,0,0,,,,2180,,,2,2,1.78,1.926666667,,17036,6.36,0.099,148,-0.032,0.392,-0.941216,0.087838,41,0.28
YHR137W,ARO9,6321929,,S000001179,ORF|Verified,149,48.15,,,,,,,0,0,0,,,,7700,,,,0.2,0.65,0.425,,58527,5.24,0.173,513,0.112,0.473,-0.331579,0.116959,135,0.26
YHR138C,YHR138C,6321930,,S000001180,ORF|Uncharacterized,30,11.12,,,,,,,0,0,0,,,,319,,,7,1.6,0.72,3.106666667,,12752,4.74,0.17,114,0.073,0.468,-0.067544,0.087719,27,0.24
YHR139C,SPS100,6321931,,S000001181,ORF|Verified,20,5.49,,,,,,,0,0,0,,,,,,,,0.1,0.35,0.225,,34226,5.19,0.18,326,0.244,0.555,0.166871,0.08589,117,0.36
YHR139C-A,YHR139C-A,6321932,,S000003533,ORF|Dubious,52,10.97,,,,,,,0,0,0,,,,,,,,,,,,11902,10.47,0.11,103,0.023,0.424,-0.258253,0.07767,,
YHR140W,YHR140W,6321933,,S000001182,ORF|Uncharacterized,59,10.18,,,,,,,0,0,0,,,,,,,,,0.52,,,27146,10.5,0.13,239,0.025,0.428,0.282845,0.142259,55,0.23
YHR141C,RPL42B,6321934,,S000001183,ORF|Verified,73,9.42,,,,,,,0,0,0,,3462.5,2109,3890,,,1,24.4,9.89,11.76333333,,12212,11.38,0.795,106,0.823,0.895,-1.05283,0.075472,17,0.16
YHR142W,CHS7,6321935,,S000001184,ORF|Verified,37,8.06,,,,,,,0,0,0,,302.5,159.5,,,,2,1.7,1.46,1.72,,34898,5.62,0.119,316,0.055,0.444,0.898417,0.142405,50,0.16
YHR143W,DSE2,6321936,,S000001186,ORF|Verified,23,6.65,,,,,,,0,0,0,,,,,,,6,6.5,3.09,5.196666667,,33417,4.2,0.178,325,0.228,0.542,0.001846,0.073846,172,0.53
YHR143W-A,RPC10,6321937,,S000001185,ORF|Verified,32,5.48,,,,,,,0,0,0,,853.5,620.5102973,907,,,,,2.68,,,7716,10.5,0.309,70,0.471,0.667,-0.325714,0.042857,16,0.23
YHR144C,DCD1,6321938,,S000001187,ORF|Verified,105,26.56,,,,,,,0,0,0,,,,1510,,,,1.2,1.13,1.165,,35646,7.79,0.128,312,-0.019,0.396,-0.289423,0.070513,71,0.23
YHR145C,YHR145C,6321939,,S000001188,ORF|Dubious,38,9.5,,,,,,,0,0,0,,,,,,,,,1.93,,,13740,10.9,0.098,118,-0.049,0.368,0.352542,0.084746,,
YHR146W,CRP1,6321940,,S000001189,ORF|Verified,180,36.72,,,,,,,0,0,0,,683.5,587,2990,,,10,2,2.16,4.72,,51115,7.45,0.179,465,0.166,0.51,-0.904301,0.04086,168,0.36
YHR147C,MRPL6,6321941,,S000001190,ORF|Verified,83,26.21,,,,,,,0,0,0,,92,54.5,5680,,,1,1.5,0,0.833333333,,23889,10.7,0.122,214,0.066,0.45,-0.281776,0.056075,47,0.22
YHR148W,IMP3,6321942,,S000001191,ORF|Verified,90,24.53,,,,,,,0,0,0,,,,,,,,1.1,2.36,1.73,,21885,10.57,0.17,183,0.08,0.457,-0.703825,0.076503,30,0.16
YHR149C,YHR149C,6321943,,S000001192,ORF|Uncharacterized,149,42.05,,,,,,,0,0,0,,165.5,84,1550,,,,0.6,0,0.3,,81848,4.73,0.121,734,-0.003,0.405,-0.921253,0.074932,229,0.31
YHR150W,YHR150W,6321944,,S000001193,ORF|Verified,190,51.74,1,0.21,377,,,,5.52E-05,0,2.61E-05,-1.06,,,,,,1,0.3,0.74,0.68,,66148,7.09,0.101,579,-0.056,0.374,-0.36753,0.11399,171,0.3
YHR151C,YHR151C,6321945,,S000001194,ORF|Uncharacterized,98,23.06,,,,,,,0,0,0,,,,,,,1,0.3,2.08,1.126666667,,59818,4.94,0.12,526,0.049,0.438,-0.141445,0.119772,141,0.27
YHR152W,SPO12,6321946,,S000001195,ORF|Verified,79,14.79,,,,,,,0,0,0,,,,937,,,,2.4,1.27,1.835,,19912,10.19,0.118,173,-0.031,0.402,-1.113873,0.063584,47,0.27
YHR153C,SPO16,6321947,,S000001196,ORF|Verified,57,22.8,,,,,,,0,0,0,,,,,,,,,0.96,,,23131,4.8,0.113,198,-0.061,0.394,-0.176768,0.111111,45,0.23
YHR154W,RTT107,6321948,,S000001197,ORF|Verified,367,83.7,1,0.34,378,,,,5.52E-05,0,2.61E-05,-1.06,,,1380,,878.8429737,,0.6,1.94,1.27,,123016,7.73,0.132,1070,-0.031,0.415,-0.553645,0.091589,284,0.27
YHR155W,YHR155W,6321949,,S000001198,ORF|Uncharacterized,429,122.24,2,0.79,1202,,,,0.000110375,0,5.22E-05,-1.49,,,1170,,1185.88466,1,0.2,0.9,0.7,1694,143582,8.15,0.141,1228,0.025,0.432,-0.366775,0.118078,298,0.24
YHR156C,LIN1,6321950,,S000001199,ORF|Verified,130,33.29,,,,,,,0,0,0,,,,799,,,,0.2,1.33,0.765,,40368,4.87,0.135,340,-0.081,0.392,-1.087647,0.094118,87,0.26
YHR157W,REC104,6321951,,S000001200,ORF|Verified,43,10.24,,,,,,,0,0,0,,,,,,,,0.1,0.85,0.475,,20744,4.6,0.075,182,-0.167,0.322,-0.502198,0.098901,55,0.3
YHR158C,KEL1,6321952,,S000001201,ORF|Verified,350,117.63,,,,4,0.93,2593,0,0.000198275,0.000104455,1.9,136,88,1350,,,1,0.6,1,0.866666667,,131093,5.12,0.142,1164,0.044,0.441,-0.739691,0.065292,348,0.3
YHR159W,YHR159W,6321953,,S000001202,ORF|Uncharacterized,173,46.63,,,,,,,0,0,0,,,,504,,,,,0.55,,,56313,8.6,0.095,504,-0.042,0.373,-1.064087,0.037698,172,0.34
YHR160C,PEX18,6321954,,S000001203,ORF|Verified,77,22.87,,,,,,,0,0,0,,,,,,,,,0.46,,,32037,4.78,0.131,283,-0.021,0.408,-0.759011,0.084806,80,0.28
YHR161C,YAP1801,6321955,,S000001204,ORF|Verified,129,31.35,,,,,,,0,0,0,,,,623,,,1,0.7,0.65,0.783333333,,71660,7.04,0.119,637,0.066,0.456,-0.608791,0.083203,155,0.24
YHR162W,YHR162W,6321956,,S000001205,ORF|Uncharacterized,39,10.95,,,,,,,0,0,0,,190.5,337.5,3410,,,,13.7,5.16,9.43,,14555,11.13,0.146,129,0.23,0.525,-0.050388,0.124031,33,0.26
YHR163W,SOL3,6321957,,S000001206,ORF|Verified,87,26.6,,,,,,,0,0,0,,194.5,375.5,3420,,,9,1.8,1.86,4.22,,31466,6.37,0.158,280,0.134,0.485,-0.309643,0.092857,72,0.26
YHR164C,DNA2,6321958,,S000001207,ORF|Verified,521,134.69,26,1,17948,22,0.93,12455,0.001434879,0.001090513,0.00125346,-0.95,,,,,,,0.3,3.47,1.885,,171693,6.43,0.12,1522,-0.001,0.415,-0.454139,0.062418,393,0.26
YHR165C,PRP8,6321959,,S000001208,ORF|Verified,794,205.84,9,0.93,3781,5,0.99,1972,0.000496689,0.000247844,0.000365593,-1.27,,,468,,2124.353633,2,1.2,1.2,1.466666667,1448,279501,7.31,0.148,2413,0.062,0.444,-0.467634,0.105678,614,0.25
YHR166C,CDC23,6321960,,S000001209,ORF|Verified,205,47.86,,,,,,,0,0,0,,,,79.7,,,1,0.3,1.04,0.78,,73113,5.18,0.122,626,-0.014,0.402,-0.404792,0.127796,131,0.21
YHR167W,THP2,6321961,,S000001210,ORF|Verified,101,27.81,,,,,,,0,0,0,,,,2840,,,,0.7,1.08,0.89,,30299,4.82,0.118,261,-0.012,0.398,-0.680843,0.068966,70,0.27
YHR168W,YHR168W,6321962,,S000001211,ORF|Verified,171,46.73,,,,,,,0,0,0,,,,189,,,,0.3,1.09,0.695,,55536,9.77,0.113,499,0.042,0.419,-0.420441,0.076152,111,0.22
YHR169W,DBP8,6321963,,S000001212,ORF|Verified,161,36.98,,,,,,,0,0,0,,208.5,139,3500,,,,1,1.24,1.12,,47878,10.4,0.139,431,0.123,0.474,-0.240371,0.051044,103,0.24
YHR170W,NMD3,6321964,,S000001213,ORF|Verified,155,35.85,,,,,,,0,0,0,,624,382.5,11900,,,2,5.2,2.54,3.246666667,,59095,5.21,0.244,518,0.272,0.575,-0.363706,0.07529,121,0.23
YHR171W,APG7,6321965,,S000001214,ORF|Verified,192,59.62,,,,,,,0,0,0,,,,,,,,0.2,0.47,0.335,,71427,6.22,0.148,630,0.028,0.417,-0.137301,0.090476,144,0.23
YHR172W,SPC97,6321966,,S000001215,ORF|Verified,284,81.11,,,,,,,0,0,0,,63,59,2230,,,,0.2,3.8,2,,96824,6.32,0.134,823,0.046,0.441,-0.439611,0.109356,182,0.22
YHR173C,YHR173C,6321967,,S000001216,ORF|Dubious,25,5.54,,,,,,,0,0,0,,,,149,,,,0.1,1.36,0.73,,12877,7.85,0.092,112,-0.116,0.352,-0.296429,0.125,,
YHR174W,ENO2,6321968,,S000001217,ORF|Verified,136,47.05,1546,1,3055113,1216,1,2119164,0.085320088,0.060275602,0.072126182,-9.46,86153.5,57133.5,2610,650000,1235907.551,392,61.1,,226.55,5455,46914,5.88,0.892,437,0.895,0.936,-0.184211,0.06865,91,0.21
YHR175W,CTR2,6321969,,S000001218,ORF|Verified,40,7.67,,,,,,,0,0,0,,118.5,76.186235,,,,,1,0.88,0.94,,21651,7.38,0.127,189,0.031,0.424,-0.013757,0.126984,38,0.2
YHR176W,YHR176W,6321970,,S000001219,ORF|Verified,108,32.3,,,,,,,0,0,0,,,,,,,1,0.1,0.44,0.513333333,,49099,7.15,0.142,432,0.076,0.46,-0.314583,0.115741,105,0.24
YHR177W,YHR177W,6321971,,S000001220,ORF|Uncharacterized,126,32.45,,,,,,,0,0,0,,,,,,,,,0.74,,,52047,10.22,0.117,453,0.015,0.411,-0.833554,0.099338,131,0.29
YHR178W,STB5,6321972,,S000001221,ORF|Verified,222,51.83,,,,,,,0,0,0,,,,279,,,,0.3,0.53,0.415,,83472,8.48,0.13,743,0.068,0.438,-0.379677,0.078062,198,0.27
YHR179W,OYE2,6321973,,S000001222,ORF|Verified,127,37.59,40,1,98938,28,1,61077,0.002207506,0.001387925,0.001775735,-1.9,1681.5,730,15100,,57019.21709,11,13.6,6.1,10.23333333,5572,45010,6.54,0.415,400,0.511,0.705,-0.5385,0.1125,89,0.22
YHR180W,YHR180W,6321974,,S000001223,ORF|Dubious,15,3.86,,,,,,,0,0,0,,,,,,,1,,,,,18138,4.64,0.117,163,0.045,0.443,0.182822,0.122699,,
YHR181W,YHR181W,6321975,,S000001224,ORF|Verified,52,14.23,,,,,,,0,0,0,,,,1810,,,,2,1.55,1.775,,26283,8.51,0.122,228,0.039,0.424,0.424561,0.171053,52,0.23
YHR182W,YHR182W,6321976,,S000001225,ORF|Uncharacterized,268,78.39,,,,,,,0,0,0,,,,1720,,,,0.6,0.78,0.69,,90108,6.32,0.134,785,0.026,0.434,-0.556943,0.087898,217,0.28
YHR183W,GND1,6321977,,S000001226,ORF|Verified,145,42.19,50,1,110189,115,1,223501,0.002759382,0.005700406,0.004308769,4.39,11084,18755.5,101000,,105594.4498,15,15.5,2.15,10.88333333,9702,53543,6.6,0.623,489,0.676,0.804,-0.143354,0.092025,97,0.2
YHR184W,SSP1,6321978,,S000001227,ORF|Verified,196,45.98,1,0.21,425,,,,5.52E-05,0,2.61E-05,-1.06,,,,,,1,0.1,,0.55,,65815,5.61,0.145,571,0.011,0.431,-0.911384,0.078809,173,0.3
YHR185C,PFS1,6321979,,S000001228,ORF|Verified,63,15.06,,,,,,,0,0,0,,,,,,,,,0.39,,,27884,5.11,0.131,237,-0.004,0.423,-0.681013,0.130802,74,0.31
