ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YDR325W,YCG1,"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding of the condensin complex; required for clustering of tRNA genes at the nucleolus",33,6685.290,4455.030,5738.430,6428.680,6644.130,5483.430,6185.840,4949.480,6097.940,5234.380
YOR086C,TCB1,"Lipid-binding protein containing three calcium and lipid binding domains; non-tagged protein localizes to mitochondria and GFP-fusion protein localizes to the cell periphery; C-termini of Tcb1p, Tcb2p and Tcb3p interact",82,13970.800,21364.200,15232.600,14252.700,12532.500,18604.500,19053.200,14089.900,13775.200,15475.200
YNL212W,VID27,"Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mutants exhibit normal growth",67,13808.800,20001.700,16062.100,14455.600,13753.400,19922.900,18185.600,15480.200,12222.600,16189.100
YKL210W,UBA1,"Ubiquitin activating enzyme (E1), involved in ubiquitin-mediated protein degradation and essential for viability",190,32567.500,42538.200,37867.900,32369.800,32901.800,39221.000,34466.300,29830.600,39552.700,34461.300
YNL088W,TOP2,"Topoisomerase II, relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis",113,32082.800,17032.700,27304.900,29268.100,29948.500,23922.700,24598.600,28829.000,27547.800,25792.500
YHR056C,RSC30,Component of the RSC chromatin remodeling complex; non-essential gene required for regulation of ribosomal protein genes and the cell wall/stress response; highly similar to Rsc3p; null mutants are osmosensitive,21,3196.920,2588.210,2953.550,3252.150,3440.040,2672.250,3283.820,3138.900,3453.760,2943.340
YDL103C,QRI1,"UDP-N-acetylglucosamine pyrophosphorylase, catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis",79,16016.400,17666.800,18668.500,16545.400,16659.500,19821.100,18150.800,16316.500,18771.300,20413.700
YNR027W,BUD17,"Putative pyridoxal kinase, a key enzyme in vitamin B6 metabolism; involved in bud-site selection; diploid mutants display a random rather than a bipolar budding pattern; similarity to yeast BUD16 and human pyridoxal kinase (PDXK)",8,1295.350,1151.830,866.445,1466.270,1442.680,1236.550,1162.950,929.014,1163.460,1403.980
YGR240C,PFK1,"Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes",278,57455.200,48950.200,34401.200,57800.200,54661.300,45336.600,39947.800,46162.900,37250.300,41273.100
YGR134W,CAF130,"Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation",28,3220.600,2781.550,2683.330,3033.280,3249.020,2901.050,3287.150,2416.890,3111.970,3107.960
YNL021W,HDA1,"Putative catalytic subunit of a class II histone deacetylase complex that also contains Hda2p and Hda3p; Hda1p interacts with the Hda2p-Hda3p subcomplex to form an active tetramer; deletion increases histone H2B, H3 and H4 acetylation",27,4762.710,4695.400,5001.950,5556.540,5667.480,5250.300,5465.170,5840.010,5965.230,5201.140
YDL077C,VAM6,Vacuolar protein that plays a critical role in the tethering steps of vacuolar membrane fusion by facilitating guanine nucleotide exchange on small guanosine triphosphatase Ypt7p,33,4201.670,5033.230,4551.270,4422.250,4645.930,4393.300,5233.900,5284.720,4538.510,4344.690
YNL245C,CWC25,Splicing factor required for the first step of pre-mRNA splicing; binding to the spliceosome requires Prp2p and Yju2p; heat-stable protein; has similarity to S. pombe Cwf25p,11,1528.720,1193.490,1073.370,1401.500,1445.810,1351.210,1279.290,501.510,1624.710,1215.390
YPR148C,YPR148C,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",53,9730.470,14129.700,15958.600,9524.970,8960.980,14539.900,14161.100,15693.900,16356.300,15382.600
YLR259C,HSP60,Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated,244,29579.400,39002.400,52627.800,31120.600,32467.000,46029.400,42136.500,92081.000,41839.400,47614.000
YHL032C,GUT1,"Glycerol kinase, converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p",99,1164.110,20156.000,25404.600,1174.820,1235.540,29984.500,18991.000,8395.260,23965.000,55618.400
YNL014W,HEF3,Translational elongation factor EF-3; paralog of YEF3 and member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells,75,1366.460,66317.500,11898.000,940.698,1512.340,26124.000,53102.100,4210.230,11270.700,5223.040
YDR295C,HDA2,Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex containing an Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance,35,6350.800,4417.670,6415.220,5466.680,6100.830,5365.240,6615.650,7846.650,7522.850,5548.440
YGR092W,DBF2,Ser/Thr kinase involved in transcription and stress response; functions as part of a network of genes in exit from mitosis; localization is cell cycle regulated; activated by Cdc15p during the exit from mitosis,22,4071.650,1786.920,2968.540,3904.710,3913.800,2989.380,2992.540,1864.010,2983.230,3677.170
YPR111W,DBF20,"Ser/Thr kinase involved in late nuclear division, one of the mitotic exit network (MEN) proteins; necessary for the execution of cytokinesis",10,875.876,978.166,1194.660,1064.460,1056.770,1302.570,1147.780,1170.950,1415.490,1411.560
YGL076C,RPL7A,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)",133,37819.400,17285.500,24889.300,33723.500,32548.800,16668.300,19991.000,24145.300,23091.200,20676.700
YPL198W,RPL7B,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Ap and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)",3,1426.200,637.377,1120.150,1155.250,1117.910,651.812,1301.130,847.901,1072.560,788.110
YLR310C,CDC25,Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,56,6348.510,8203.280,8550.250,6750.030,6801.640,8600.760,10030.400,11410.700,9994.950,8997.290
YDR017C,KCS1,"Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response and telomere maintenance",50,8856.520,9640.330,8522.600,8555.990,8319.370,9955.990,11831.500,8772.390,9968.690,9963.320
YJL131C,AIM23,"Putative protein of unknown function; the authentic non-tagged protein is detected in highly purified mitochondria; null mutant is viable, displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss",17,1968.420,3214.090,2895.960,1924.420,2287.530,3515.230,3699.220,5718.520,3967.650,4266.180
YBR121C,GRS1,Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation,179,43084.500,30159.800,36472.200,41571.100,43203.800,31494.300,32145.600,32469.500,43233.800,31594.100
YLR420W,URA4,"Dihydroorotase, catalyzes the third enzymatic step in the de novo biosynthesis of pyrimidines, converting carbamoyl-L-aspartate into dihydroorotate",36,17643.300,7149.820,6069.540,15930.200,17601.200,6768.490,5098.560,6085.330,5918.480,5612.480
YLL023C,POM33,"Transmembrane nucleoporin involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p",14,2423.970,7244.600,6456.220,2356.670,1978.030,6004.060,8378.400,7978.320,5564.650,4235.460
YML007W,YAP1,Basic leucine zipper (bZIP) transcription factor required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; mediates resistance to cadmium,24,3385.820,4686.040,3987.920,3804.170,3785.050,5139.320,4506.160,2862.540,4250.090,4559.200
YML093W,UTP14,Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit,41,13382.800,3692.300,4390.900,12235.100,11688.900,4231.340,5440.600,2962.240,6116.940,6233.160
YGL226W,MTC3,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; mtc3 is synthetically sick with cdc13-1,5,227.803,644.615,547.536,312.590,304.765,749.070,537.841,1169.070,681.544,846.041
YBR245C,ISW1,"Member of the imitation-switch (ISWI) class of ATP-dependent chromatin remodeling complexes; ATPase that forms a complex with Ioc2p and Ioc4p to regulate transcription elongation, and a complex with Ioc3p to repress transcription initiation",70,23073.400,13140.800,13516.900,21725.700,21711.600,15129.100,15107.600,17109.500,14985.500,16686.300
YML100W,TSL1,"Large subunit of trehalose 6-phosphate synthase (Tps1p)/phosphatase (Tps2p) complex, which converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose, similar to Tps3p and may share function; mutant has aneuploidy tolerance",144,7245.240,47800.300,33670.900,10630.500,6011.420,48096.000,41694.200,38185.000,24897.300,28009.400
YNL005C,MRP7,Mitochondrial ribosomal protein of the large subunit,28,3252.900,4024.150,4371.900,3684.240,4940.840,4813.650,4828.710,7083.060,6231.800,6163.850
YAL054C,ACS1,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",321,4478.070,129364.000,118996.000,3643.720,2792.020,126581.000,104335.000,40445.100,63523.000,53117.500
YMR066W,SOV1,Mitochondrial protein of unknown function,26,2150.490,2666.360,2686.800,2336.730,2501.110,2911.410,3279.340,4223.510,3640.810,2941.850
YPL004C,LSP1,"Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis, along with Pil1p and Sur7p; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family",120,4985.920,25445.600,14485.900,6566.200,4320.300,21593.200,16923.900,24953.000,11518.400,17874.400
YMR129W,POM152,Nuclear pore membrane glycoprotein; may be involved in duplication of nuclear pores and nuclear pore complexes during S-phase;,69,18364.000,13138.300,12763.100,17553.400,17825.000,12675.400,13656.300,11870.300,14186.200,14186.200
YOR117W,RPT5,One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1,75,13068.100,15018.500,13869.500,11768.900,12440.600,14217.600,13373.800,18235.900,14180.600,13232.700
YMR196W,YMR196W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene,95,3308.540,34373.400,19481.600,6047.070,3697.810,29199.900,29205.400,16374.500,16133.800,23181.400
YAL038W,CDC19,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration",776,178510.000,100797.000,44987.100,204266.000,162095.000,80352.900,84361.300,76468.000,69077.100,70488.000
YDR037W,KRS1,Lysyl-tRNA synthetase,140,64735.000,18329.600,20789.000,53847.800,61192.500,19458.300,18461.300,17265.000,28276.700,19628.600
YLR431C,ATG23,Peripheral membrane protein required for the cytoplasm-to-vacuole targeting (Cvt) pathway and efficient macroautophagy; cycles between the phagophore assembly site (PAS) and non-PAS locations; forms a complex with Atg9p and Atg27p,16,898.261,3495.080,2622.890,840.926,757.324,2885.170,3342.030,4062.030,3015.680,2708.880
YJR033C,RAV1,"Subunit of the RAVE complex (Rav1p, Rav2p, Skp1p), which promotes assembly of the V-ATPase holoenzyme; required for transport between the early and late endosome/PVC and for localization of TGN membrane proteins; potential Cdc28p substrate",70,9404.010,16778.700,13910.500,10389.200,9831.120,15616.700,19086.200,13593.400,13306.700,14546.900
YDR161W,YDR161W,Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation; genetic interactions suggest a role in ER-associated protein degradation (ERAD),19,3339.600,2241.450,2100.710,3444.630,3389.920,2102.770,2044.570,2187.180,2050.230,2241.010
YDR480W,DIG2,"MAP kinase-responsive inhibitor of the Ste12p transcription factor, involved in the regulation of mating-specific genes and the invasive growth pathway; related regulators Dig1p and Dig2p bind to Ste12p",8,597.530,926.766,1156.580,790.382,795.588,1214.550,1493.760,1000.590,1299.690,1102.450
YKR087C,OMA1,"Metalloendopeptidase of the mitochondrial inner membrane, involved in turnover of membrane-embedded proteins; member of a family of predicted membrane-bound metallopeptidases in prokaryotes and higher eukaryotes",29,2766.940,5059.310,5805.550,3105.740,3248.480,5630.810,6584.900,8485.960,5450.490,6156.540
YOR326W,MYO2,"One of two type V myosin motors (along with MYO4) involved in actin-based transport of cargos; required for the polarized delivery of secretory vesicles, the vacuole, late Golgi elements, peroxisomes, and the mitotic spindle",97,27602.800,15915.800,15492.500,27447.500,27796.000,17558.700,17211.400,19319.800,19229.100,21300.100
YKL145W,RPT1,One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and Ubr1p; mutant has aneuploidy tolerance,81,16222.800,14560.500,13499.500,15877.800,17098.900,14291.300,13194.300,16422.700,14414.900,14023.100
YJL061W,NUP82,"Nucleoporin, subunit of the nuclear pore complex (NPC); forms a subcomplex with Gle2p, Nup159p, Nsp1p, and Nup116p and is required for proper localization of Nup116p in the NPC",36,7356.400,7339.010,7797.740,7368.730,7870.220,8171.400,8336.250,8293.960,7602.010,7269.180
YLR357W,RSC2,Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance,49,9860.130,6836.980,7804.270,9024.240,10113.500,7996.520,8157.030,8127.890,8325.370,7547.460
YFL034W,YFL034W,"Putative integral membrane protein that interacts with Rpp0p, which is a component of the ribosomal stalk",33,6882.480,6926.700,6114.470,6951.950,6987.940,7378.660,7495.080,3071.300,7885.570,7319.730
YOR291W,YPK9,"Vacuolar protein with a possible role in sequestering heavy metals; has similarity to the type V P-type ATPase Spf1p; homolog of human ATP13A2 (PARK9), mutations in which are associated with Parkinson disease and Kufor-Rakeb syndrome",38,4455.010,3945.040,3481.600,4984.470,4413.600,3887.660,4285.320,4723.120,4172.280,4338.530
YNL172W,APC1,"Largest subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis",32,4475.730,2800.180,4880.010,4587.590,4932.280,3853.580,4086.410,3371.030,4669.850,4990.900
YLR244C,MAP1,"Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p",56,21472.600,6824.330,5793.480,19941.900,20279.800,6126.850,7325.860,6492.520,6795.710,8794.790
YPL157W,TGS1,"Trimethyl guanosine synthase, conserved nucleolar methyl transferase that converts the m(7)G cap structure of snRNAs, snoRNAs, and telomerase TLC1 RNA to m(2,2,7)G; also required for nucleolar assembly and splicing of meiotic pre-mRNAs",9,565.846,685.958,818.425,610.062,507.597,745.200,957.984,486.340,607.619,701.580
YFR006W,YFR006W,Putative X-Pro aminopeptidase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YFR006W is not an essential gene,70,8454.840,16829.200,16778.500,10189.400,9869.580,16339.400,15311.700,6409.520,13034.600,14100.500
YMR096W,SNZ1,"Protein involved in vitamin B6 biosynthesis; member of a stationary phase-induced gene family; coregulated with SNO1; interacts with Sno1p and with Yhr198p, perhaps as a multiprotein complex containing other Snz and Sno proteins",28,618.428,17588.400,13811.600,553.422,619.717,3254.600,45964.500,1696.040,2326.020,2422.200
YJL026W,RNR2,"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits",135,11089.400,42240.200,19110.700,13012.500,12746.600,26805.700,35647.900,12319.700,23363.800,25566.700
YBL088C,TEL1,Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; functionally redundant with Mec1p; homolog of human ataxia telangiectasia (ATM) gene,22,4985.440,4339.110,4586.820,3955.080,4233.300,4317.040,5337.420,3792.480,4767.070,4825.840
YGR180C,RNR4,"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits",136,20797.300,36320.100,27587.000,19050.100,22435.800,28876.200,45896.800,22324.500,34839.300,32435.900
YJR140C,HIR3,Subunit of the HIR complex; a nucleosome assembly complex involved in regulation of histone gene transcription; involved in position-dependent gene silencing and nucleosome reassembly; ortholog of human CABIN1 protein,34,5312.020,4162.890,4331.170,5708.040,5901.470,4573.080,5331.830,5244.480,5641.710,5197.160
YER017C,AFG3,"Component, with Yta12p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes",42,7439.860,11124.300,9950.150,7680.900,8416.480,11525.900,11610.200,14171.400,13563.900,13289.500
YJL014W,CCT3,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",95,29050.200,20460.400,16863.500,27731.600,28978.100,18254.100,16447.100,19353.600,18429.600,18126.500
YHR114W,BZZ1,"SH3 domain protein implicated in the regulation of actin polymerization, able to recruit actin polymerization machinery through its SH3 domains, colocalizes with cortical actin patches and Las17p, interacts with type I myosins",47,7715.080,9706.700,9511.670,8123.350,8350.650,10650.200,9810.500,14919.500,11167.700,10323.800
YOR217W,RFC1,"Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon",43,11040.400,7500.710,8696.850,10272.300,11242.100,8248.710,8989.680,9071.570,9957.770,9681.010
YPL158C,AIM44,Protein of unknown function; GFP-fusion protein localizes to the bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss,1,79.848,45.806,66.067,87.277,100.331,48.666,85.056,50.663,119.314,67.133
YBR136W,MEC1,Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination,39,3325.530,5124.480,5357.360,3898.360,3957.150,5103.860,6080.700,4506.460,4853.880,5726.310
YOL078W,AVO1,"Component of a membrane-bound complex containing the Tor2p kinase and other proteins, which may have a role in regulation of cell growth",29,3285.730,3629.410,3340.620,3451.970,3362.880,3925.900,3885.590,4939.380,4352.220,4237.680
YNL287W,SEC21,"Gamma subunit of coatomer, a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo",110,20390.300,18419.500,15985.600,22021.200,20529.100,19494.500,16999.300,17235.400,18181.800,18874.700
YCR048W,ARE1,"Acyl-CoA:sterol acyltransferase, isozyme of Are2p; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the absence of oxygen",14,3229.120,1476.010,1392.670,2743.490,2701.310,1469.280,1836.280,1364.450,1892.570,1499.800
YOR188W,MSB1,"Protein involved in positive regulation of both 1,3-beta-glucan synthesis and the Pkc1p-MAPK pathway, potential Cdc28p substrate; multicopy suppressor of temperature-sensitive mutations in CDC24 and CDC42, and of mutations in BEM4",38,8760.880,3176.310,5093.400,9321.580,10186.700,4404.680,4995.830,5650.160,7309.840,6954.630
YKR031C,SPO14,"Phospholipase D, catalyzes the hydrolysis of phosphatidylcholine, producing choline and phosphatidic acid; involved in Sec14p-independent secretion; required for meiosis and spore formation; differently regulated in secretion and meiosis",43,8127.130,6499.420,6651.870,7995.090,7873.400,6752.110,8704.330,8785.970,8761.750,6109.410
YJL207C,LAA1,AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene,57,13667.300,9099.240,6681.680,13391.800,13503.400,8611.880,9276.610,9127.960,9050.150,10041.200
YDR329C,PEX3,Peroxisomal membrane protein (PMP) required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p,9,754.390,1832.500,1652.790,826.336,766.612,1610.240,1849.260,1442.940,1420.950,1508.090
YOL145C,CTR9,"Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cyclin genes; contains TPR repeats; possibly involved in transcription elongation as a component of the PAF complex",66,11150.800,10780.600,9892.960,11668.700,10981.900,11571.700,11593.700,11000.800,11441.700,12001.800
YDR119W,VBA4,Protein of unknown function with proposed role as a basic amino acid permease based on phylogeny; GFP-fusion protein localizes to vacuolar membrane; physical interaction with Atg27p suggests a possible role in autophagy; non-essential gene,16,4054.330,1913.230,2285.000,3607.910,3412.220,2062.100,2324.820,2183.710,2629.020,2838.520
YPL226W,NEW1,ATP binding cassette protein that cosediments with polysomes and is required for biogenesis of the small ribosomal subunit; Asn/Gln-rich rich region supports [NU+] prion formation and susceptibility to [PSI+] prion induction,136,65881.500,19807.700,19806.400,59309.900,59239.600,18273.900,21694.700,18779.800,24134.000,21223.700
YER110C,KAP123,"Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1",163,52692.700,27121.200,28439.600,51726.200,54076.400,27231.600,28845.400,27620.100,40398.900,30816.400
YPR120C,CLB5,B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1 phase,4,348.044,86.877,209.530,351.767,362.221,103.304,271.557,168.805,343.697,268.787
YDR283C,GCN2,"Protein kinase, phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control",55,9693.160,11948.800,12020.100,9271.970,8972.700,12796.700,14421.200,14018.800,13342.200,12485.100
YLR207W,HRD3,"Resident protein of the ER membrane that plays a central role in ER-associated protein degradation (ERAD), forms HRD complex with Hrd1p and ERAD determinants that engages in lumen to cytosol communication and coordination of ERAD events",30,4208.130,4428.880,4391.290,4077.210,4080.440,5000.380,4710.270,4843.780,4882.980,4730.640
YBL091C,MAP2,"Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map1p",48,16657.500,12426.900,10714.400,16204.100,16573.500,13004.100,10662.700,10063.800,10992.800,11770.600
YDL087C,LUC7,Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA,12,2145.850,1958.460,1986.020,1972.800,2033.620,2107.920,2203.410,2345.050,2181.160,2012.240
YNL054W,VAC7,Integral vacuolar membrane protein involved in vacuole inheritance and morphology; activates Fab1p kinase activity under basal conditions and also after hyperosmotic shock,18,2973.370,2826.470,2572.390,3006.020,2987.450,2863.470,2496.850,2876.040,2709.530,2973.480
YDL027C,YDL027C,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene",29,5014.430,8658.630,9584.160,4935.170,4765.060,8185.630,11606.200,12304.300,10660.600,10013.100
YHR199C,AIM46,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",21,2883.330,5708.700,7054.640,3218.710,3671.340,4822.310,6696.760,9774.640,5555.690,2557.110
YOR254C,SEC63,"Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER",48,17376.900,7742.530,8575.110,16330.700,15320.200,8459.010,9260.940,9171.720,10945.900,10208.700
YNL045W,LAP2,"Leucyl aminopeptidase yscIV (leukotriene A4 hydrolase) with epoxide hydrolase activity, metalloenzyme containing one zinc atom; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus",54,7520.930,18418.600,15775.000,9154.900,9814.550,17949.400,16609.600,11606.400,14772.700,14236.800
YMR307W,GAS1,"Beta-1,3-glucanosyltransferase, required for cell wall assembly and also has a role in transcriptional silencing; localizes to the cell surface via a glycosylphosphatidylinositol (GPI) anchor; also found at the nuclear periphery",91,17917.900,8713.240,22643.000,17169.700,17717.900,12134.700,16721.600,16715.500,19685.400,18197.600
YMR140W,SIP5,Protein of unknown function; interacts with both the Reg1p/Glc7p phosphatase and the Snf1p kinase,19,2915.610,4068.580,4254.210,2711.950,2687.850,3952.440,4362.340,4451.430,4535.720,3330.300
YCR069W,CPR4,"Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; has a potential role in the secretory pathway",15,4497.990,3896.540,6048.220,4088.560,3608.940,5132.810,5884.980,12451.000,5777.690,7015.290
YDL171C,GLT1,"NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source",209,65960.700,34064.100,45362.900,64911.900,63387.500,41136.700,21324.500,7120.990,17685.700,43773.500
YJL197W,UBP12,"Ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease present in the nucleus and cytoplasm that cleaves ubiquitin from ubiquitinated proteins",40,10416.300,8481.460,7826.710,10544.100,9836.100,8856.410,9291.260,7735.510,8333.180,8949.040
YOR091W,TMA46,Protein of unknown function that associates with translating ribosomes; interacts with GTPase Rbg1p,23,8860.480,2309.490,2849.530,7611.460,8957.270,2495.270,3584.560,1810.430,4728.820,3871.140
YJL005W,CYR1,"Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation",81,12591.800,16977.100,11446.800,14000.700,12860.500,16275.900,14551.500,18807.800,13652.000,14578.100
YJL109C,UTP10,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA; mutant has increased aneuploidy tolerance",78,30049.900,11059.000,12162.000,28880.700,29811.900,10409.900,13819.700,11332.700,14995.600,13903.000
YPL091W,GLR1,"Cytosolic and mitochondrial glutathione oxidoreductase, converts oxidized glutathione to reduced glutathione; mitochondrial but not cytosolic form has a role in resistance to hyperoxia",86,17780.300,21327.300,22323.400,18530.600,17632.800,24956.900,20017.600,26854.600,20222.500,17949.900
YDR105C,TMS1,"Vacuolar membrane protein of unknown function that is conserved in mammals; predicted to contain eleven transmembrane helices; interacts with Pdr5p, a protein involved in multidrug resistance",8,1397.140,1455.580,1799.330,1502.790,1295.330,1443.370,1684.120,1170.860,1246.470,1618.190
YPR036W,VMA13,"Subunit H of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase",60,19521.500,18909.900,15757.500,19078.500,18673.400,18592.800,18577.400,16513.500,17619.100,18704.600
